,online,reservations,rating,votes,location,rest_type,cost_for_two,type
55,Yes,No,3.9,627,Banashankari,Delivery,450.0,Delivery
56,Yes,No,3.8,104,Banashankari,Quick Bites,300.0,Delivery
57,Yes,Yes,4.2,354,Banashankari,Casual Dining,800.0,Delivery
58,No,No,3.6,55,Banashankari,Quick Bites,200.0,Delivery
59,Yes,No,3.7,17,Banashankari,Dessert Parlor,400.0,Delivery
60,No,No,4.2,244,Banashankari,Casual Dining,800.0,Delivery
61,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,800.0,Delivery
62,Yes,No,3.8,58,Basavanagudi,Quick Bites,150.0,Delivery
63,No,Yes,4.0,808,Banashankari,Casual Dining,850.0,Delivery
64,No,No,3.7,78,Banashankari,Other,150.0,Delivery
65,Yes,No,4.1,1720,Basavanagudi,Quick Bites,400.0,Delivery
66,Yes,No,3.6,34,Jayanagar,Quick Bites,100.0,Delivery
67,No,No,4.1,868,Banashankari,Other,1200.0,Delivery
68,No,No,3.8,39,Banashankari,Bakery,300.0,Delivery
69,Yes,No,3.2,71,Basavanagudi,Quick Bites,600.0,Delivery
70,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery",500.0,Delivery
71,No,No,4.1,520,Banashankari,Quick Bites,300.0,Delivery
73,No,No,2.9,84,Banashankari,Delivery,700.0,Delivery
74,No,No,3.6,299,Banashankari,Quick Bites,300.0,Delivery
76,Yes,No,4.1,558,Basavanagudi,Quick Bites,150.0,Delivery
77,Yes,No,3.6,28,Banashankari,Quick Bites,300.0,Delivery
78,No,No,3.7,22,Banashankari,Quick Bites,500.0,Delivery
79,No,No,3.8,39,Banashankari,Quick Bites,350.0,Delivery
80,Yes,No,3.8,153,Vijay Nagar,Other,500.0,Delivery
81,Yes,No,4.2,146,Banashankari,Other,400.0,Delivery
82,No,No,3.5,14,Banashankari,Other,200.0,Delivery
83,No,No,3.8,42,Banashankari,Casual Dining,700.0,Delivery
84,No,No,3.7317847177866676,0,Banashankari,Quick Bites,100.0,Delivery
85,No,No,4.0,66,Banashankari,Bakery,300.0,Delivery
86,Yes,No,4.4,4401,Jayanagar,Casual Dining,600.0,Delivery
87,No,No,3.5,31,Banashankari,Quick Bites,200.0,Delivery
88,No,No,3.5,7,Banashankari,Dessert Parlor,500.0,Delivery
89,No,No,3.7,21,Banashankari,Quick Bites,250.0,Delivery
90,No,No,3.7317847177866676,0,Banashankari,Delivery,500.0,Delivery
91,No,No,3.7317847177866676,0,Banashankari,"Takeaway, Delivery",400.0,Delivery
92,No,No,3.7317847177866676,0,Banashankari,Other,200.0,Delivery
93,No,No,3.2,9,Banashankari,Dessert Parlor,300.0,Delivery
94,No,No,2.6,283,Banashankari,Casual Dining,600.0,Delivery
95,No,No,3.3,62,Banashankari,Other,800.0,Delivery
96,No,No,3.8,64,Banashankari,Quick Bites,250.0,Delivery
97,No,No,3.7,39,Banashankari,Casual Dining,950.0,Delivery
98,No,No,3.7,65,Banashankari,Quick Bites,300.0,Delivery
99,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,400.0,Delivery
100,No,No,3.5,52,Banashankari,Quick Bites,300.0,Delivery
101,No,No,3.7,130,Banashankari,Quick Bites,200.0,Delivery
102,No,No,3.5,10,Banashankari,Quick Bites,300.0,Delivery
103,No,No,3.8,45,Banashankari,"Takeaway, Delivery",400.0,Delivery
104,No,No,3.2,11,Banashankari,Cafe,600.0,Delivery
105,No,No,3.5,13,Banashankari,Bakery,300.0,Delivery
106,No,No,3.4,8,Banashankari,Quick Bites,300.0,Delivery
107,No,No,3.7317847177866676,0,Banashankari,"Takeaway, Delivery",250.0,Delivery
108,No,No,3.2,9,Banashankari,Quick Bites,300.0,Delivery
109,No,No,3.2,4,Banashankari,Quick Bites,300.0,Delivery
111,No,No,3.1,29,Banashankari,Quick Bites,150.0,Delivery
112,No,No,3.4,8,Banashankari,Bakery,400.0,Delivery
113,No,No,3.7317847177866676,0,Banashankari,Dessert Parlor,150.0,Delivery
114,No,No,3.7317847177866676,0,Banashankari,Bakery,300.0,Delivery
115,No,No,3.7317847177866676,0,Banashankari,Quick Bites,200.0,Delivery
116,No,No,3.7317847177866676,0,Banashankari,"Takeaway, Delivery",150.0,Delivery
118,No,No,3.7317847177866676,0,Banashankari,Quick Bites,250.0,Delivery
119,No,No,3.1,30,Banashankari,Other,1000.0,Delivery
120,Yes,No,4.1,201,Banashankari,Quick Bites,300.0,Delivery
121,No,No,3.3,7,Banashankari,Quick Bites,200.0,Delivery
122,No,No,3.1,6,Banashankari,Quick Bites,100.0,Delivery
123,No,No,3.3,17,Banashankari,Quick Bites,200.0,Delivery
124,No,No,2.9,25,Banashankari,Dessert Parlor,200.0,Delivery
125,No,No,3.7317847177866676,0,Banashankari,Delivery,400.0,Delivery
126,No,No,3.7317847177866676,0,Banashankari,Quick Bites,350.0,Delivery
127,No,No,3.3,8,Banashankari,Delivery,100.0,Delivery
128,No,No,3.7317847177866676,0,Banashankari,Quick Bites,150.0,Delivery
133,No,No,3.7317847177866676,0,Banashankari,Other,200.0,Delivery
134,No,No,3.7317847177866676,0,Banashankari,Other,150.0,Delivery
140,No,No,3.7317847177866676,0,Banashankari,Other,200.0,Delivery
141,No,No,3.7317847177866676,0,Banashankari,Other,350.0,Delivery
142,No,No,3.7317847177866676,0,Banashankari,Quick Bites,300.0,Delivery
145,Yes,No,4.0,771,Banashankari,Casual Dining,450.0,Delivery
146,No,No,3.0,98,Banashankari,Other,800.0,Delivery
147,Yes,No,3.9,47,Basavanagudi,Quick Bites,200.0,Delivery
148,Yes,Yes,4.1,175,Jayanagar,Casual Dining,500.0,Delivery
149,Yes,No,3.8,58,Banashankari,Quick Bites,300.0,Delivery
150,Yes,No,3.8,540,Basavanagudi,Casual Dining,650.0,Delivery
151,Yes,No,3.8,124,Kumaraswamy Layout,Quick Bites,400.0,Delivery
152,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery",500.0,Delivery
153,Yes,No,3.8,505,Banashankari,Quick Bites,450.0,Delivery
155,Yes,No,4.1,438,Jayanagar,Dessert Parlor,500.0,Delivery
156,Yes,No,3.7,264,Mysore Road,Casual Dining,750.0,Delivery
157,Yes,No,3.9,169,Kumaraswamy Layout,Other,150.0,Delivery
158,Yes,No,3.0,67,Kumaraswamy Layout,Quick Bites,250.0,Delivery
159,Yes,No,3.7,97,Jayanagar,Quick Bites,350.0,Delivery
160,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",300.0,Delivery
161,Yes,No,3.3,12,Banashankari,Quick Bites,300.0,Delivery
162,Yes,No,3.6,195,Jayanagar,Casual Dining,800.0,Delivery
163,Yes,No,3.3,13,Basavanagudi,Other,300.0,Delivery
164,Yes,No,4.6,228,Jayanagar,Cafe,400.0,Delivery
165,Yes,No,4.1,70,Basavanagudi,Quick Bites,150.0,Delivery
166,Yes,Yes,4.1,364,Jayanagar,Casual Dining,1200.0,Delivery
167,Yes,No,3.7,107,Basavanagudi,Other,150.0,Delivery
168,Yes,No,3.2,167,Kumaraswamy Layout,Quick Bites,300.0,Delivery
169,Yes,No,4.0,115,Banashankari,Other,400.0,Delivery
170,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery",400.0,Delivery
171,Yes,No,3.5,57,Banashankari,Quick Bites,200.0,Delivery
172,Yes,No,3.8,120,Banashankari,Quick Bites,250.0,Delivery
173,Yes,No,3.8,15,Basavanagudi,Bakery,400.0,Delivery
174,Yes,No,4.2,64,Basavanagudi,Quick Bites,500.0,Delivery
175,Yes,No,3.6,66,Banashankari,Quick Bites,150.0,Delivery
176,Yes,No,3.0,290,Banashankari,Quick Bites,450.0,Delivery
177,Yes,No,4.1,233,Basavanagudi,Quick Bites,200.0,Delivery
178,Yes,No,3.8,115,Kumaraswamy Layout,Quick Bites,250.0,Delivery
179,Yes,No,3.1,119,Banashankari,Casual Dining,700.0,Delivery
180,Yes,Yes,3.9,291,Jayanagar,Cafe,650.0,Delivery
181,Yes,No,4.5,155,Jayanagar,Other,300.0,Delivery
182,Yes,No,4.1,305,Kumaraswamy Layout,Casual Dining,700.0,Delivery
183,Yes,No,3.6,46,Banashankari,Quick Bites,500.0,Delivery
184,Yes,No,3.5,45,Kumaraswamy Layout,Quick Bites,350.0,Delivery
185,Yes,No,3.9,38,Banashankari,Dessert Parlor,150.0,Delivery
186,Yes,No,3.9,441,Banashankari,Quick Bites,400.0,Delivery
187,Yes,No,3.9,25,Basavanagudi,Quick Bites,100.0,Delivery
188,Yes,No,4.3,630,Jayanagar,Quick Bites,200.0,Delivery
189,Yes,No,3.8,25,Kumaraswamy Layout,Quick Bites,150.0,Delivery
190,Yes,No,3.9,160,Kumaraswamy Layout,Quick Bites,300.0,Delivery
191,Yes,No,4.2,287,Banashankari,Quick Bites,350.0,Delivery
192,Yes,No,3.6,11,Basavanagudi,Quick Bites,100.0,Delivery
193,Yes,No,4.1,402,Banashankari,Cafe,500.0,Delivery
194,Yes,No,3.8,469,Basavanagudi,Casual Dining,750.0,Delivery
195,Yes,No,3.3,511,Kumaraswamy Layout,Casual Dining,550.0,Delivery
196,Yes,No,3.9,57,Banashankari,Quick Bites,200.0,Delivery
197,Yes,No,3.4,14,Banashankari,Quick Bites,300.0,Delivery
198,Yes,No,3.9,264,Banashankari,Quick Bites,200.0,Delivery
199,Yes,No,3.0,62,Banashankari,Cafe,400.0,Delivery
200,Yes,No,3.8,693,Banashankari,Casual Dining,750.0,Delivery
201,Yes,No,3.8,242,Jayanagar,Casual Dining,650.0,Delivery
202,Yes,No,3.6,27,Basavanagudi,Dessert Parlor,250.0,Delivery
203,Yes,No,4.1,163,Basavanagudi,Quick Bites,500.0,Delivery
204,Yes,No,4.2,191,Basavanagudi,Quick Bites,250.0,Delivery
205,Yes,No,3.5,32,Banashankari,Quick Bites,150.0,Delivery
206,Yes,No,2.5,247,Banashankari,Casual Dining,500.0,Delivery
207,Yes,Yes,4.1,2339,Jayanagar,Casual Dining,1500.0,Delivery
208,Yes,No,4.1,337,Jayanagar,Quick Bites,300.0,Delivery
209,Yes,No,3.9,135,Banashankari,Casual Dining,800.0,Delivery
210,Yes,No,3.6,172,Uttarahalli,Casual Dining,700.0,Delivery
211,Yes,No,3.6,105,Banashankari,Casual Dining,700.0,Delivery
212,Yes,No,4.2,504,Banashankari,Cafe,550.0,Delivery
213,Yes,No,3.2,36,Kumaraswamy Layout,Quick Bites,200.0,Delivery
214,Yes,No,3.1,39,Kumaraswamy Layout,Quick Bites,300.0,Delivery
215,Yes,No,3.1,5,Kumaraswamy Layout,Casual Dining,500.0,Delivery
216,Yes,No,3.7317847177866676,0,Basavanagudi,Quick Bites,300.0,Delivery
217,Yes,Yes,4.3,1129,Jayanagar,Casual Dining,1300.0,Delivery
218,Yes,No,3.9,56,Kumaraswamy Layout,Quick Bites,350.0,Delivery
219,Yes,No,4.3,860,Banashankari,Dessert Parlor,500.0,Delivery
220,Yes,No,3.8,412,Jayanagar,Casual Dining,700.0,Delivery
221,Yes,Yes,3.9,142,Jayanagar,Casual Dining,1000.0,Delivery
222,Yes,No,3.0,23,Jayanagar,Quick Bites,400.0,Delivery
223,Yes,No,3.6,143,Jayanagar,Casual Dining,750.0,Delivery
224,Yes,Yes,2.8,80,Jayanagar,Casual Dining,500.0,Delivery
225,Yes,No,3.6,16,JP Nagar,Casual Dining,400.0,Delivery
226,Yes,No,4.4,181,Jayanagar,Other,250.0,Delivery
227,Yes,No,3.8,70,Jayanagar,Quick Bites,200.0,Delivery
228,Yes,No,3.8,164,Basavanagudi,Quick Bites,600.0,Delivery
229,Yes,No,3.6,58,Kumaraswamy Layout,Quick Bites,650.0,Delivery
230,No,No,3.8,148,Basavanagudi,Other,550.0,Delivery
231,No,No,3.9,206,Basavanagudi,Quick Bites,450.0,Delivery
232,No,No,3.7317847177866676,0,Basavanagudi,Bakery,300.0,Delivery
233,No,No,3.7317847177866676,0,JP Nagar,Dessert Parlor,200.0,Delivery
234,No,No,3.6,16,Mysore Road,Quick Bites,300.0,Delivery
235,No,No,3.7,217,Basavanagudi,Casual Dining,450.0,Delivery
236,No,No,3.6,46,Basavanagudi,Quick Bites,450.0,Delivery
237,No,No,3.8,148,Basavanagudi,Quick Bites,150.0,Delivery
238,No,No,3.4,30,Basavanagudi,Dessert Parlor,250.0,Delivery
239,No,No,3.6,8,Mysore Road,Casual Dining,800.0,Delivery
240,No,No,3.3,4,Jayanagar,Quick Bites,250.0,Delivery
241,No,No,3.5,15,Basavanagudi,Other,400.0,Delivery
242,No,No,3.7317847177866676,0,Basavanagudi,Quick Bites,100.0,Delivery
243,No,No,3.7317847177866676,0,Uttarahalli,Quick Bites,300.0,Delivery
244,No,No,3.7317847177866676,0,Jayanagar,Quick Bites,200.0,Delivery
245,Yes,No,3.4,9,Uttarahalli,Quick Bites,200.0,Delivery
246,No,No,3.7317847177866676,0,Vijay Nagar,Quick Bites,350.0,Delivery
247,Yes,No,3.7,31,Mysore Road,Quick Bites,300.0,Delivery
248,Yes,No,2.9,177,Jayanagar,Casual Dining,700.0,Delivery
249,Yes,No,3.7,22,Basavanagudi,Other,250.0,Delivery
250,Yes,No,3.5,10,Kumaraswamy Layout,Other,100.0,Delivery
251,Yes,No,3.7,136,Banashankari,Quick Bites,600.0,Delivery
252,Yes,No,2.9,35,Kumaraswamy Layout,Quick Bites,250.0,Delivery
253,Yes,No,4.1,185,Jayanagar,Quick Bites,200.0,Delivery
254,Yes,No,3.2,17,Jayanagar,Cafe,900.0,Delivery
255,Yes,No,3.8,155,Mysore Road,Casual Dining,400.0,Delivery
256,Yes,No,3.8,42,Banashankari,Quick Bites,300.0,Delivery
257,Yes,No,3.8,286,Basavanagudi,Casual Dining,600.0,Delivery
258,Yes,No,3.8,160,Banashankari,Casual Dining,700.0,Delivery
259,Yes,No,3.8,59,Banashankari,Casual Dining,750.0,Delivery
260,Yes,No,3.5,90,Jayanagar,Casual Dining,500.0,Delivery
261,Yes,No,3.7,51,Kumaraswamy Layout,Quick Bites,350.0,Delivery
262,Yes,No,4.0,89,Jayanagar,Quick Bites,200.0,Delivery
263,Yes,No,3.6,18,Banashankari,Quick Bites,250.0,Delivery
264,Yes,No,3.9,40,Basavanagudi,Casual Dining,600.0,Delivery
265,Yes,No,2.5,35,Basavanagudi,Quick Bites,200.0,Delivery
266,Yes,No,3.4,89,Jayanagar,Quick Bites,250.0,Delivery
267,Yes,No,3.2,11,Basavanagudi,Quick Bites,150.0,Delivery
268,Yes,No,3.6,62,Banashankari,Other,600.0,Delivery
269,Yes,No,3.9,33,Jayanagar,Dessert Parlor,300.0,Delivery
270,Yes,No,3.8,32,Jayanagar,Other,250.0,Delivery
271,Yes,No,4.1,139,Jayanagar,Casual Dining,550.0,Delivery
272,Yes,No,3.2,154,Vijay Nagar,Quick Bites,300.0,Delivery
273,Yes,No,3.6,14,Banashankari,Bakery,350.0,Delivery
274,Yes,No,3.7,237,Banashankari,Quick Bites,200.0,Delivery
275,Yes,No,3.9,388,Banashankari,Casual Dining,650.0,Delivery
277,Yes,No,3.9,128,Kumaraswamy Layout,Casual Dining,500.0,Delivery
278,Yes,Yes,4.1,1875,Jayanagar,Casual Dining,1200.0,Delivery
279,Yes,No,3.8,90,Banashankari,Cafe,650.0,Delivery
280,Yes,No,3.1,7,Kumaraswamy Layout,Quick Bites,250.0,Delivery
281,Yes,No,3.7,38,Uttarahalli,Casual Dining,400.0,Delivery
282,Yes,No,4.2,179,Banashankari,Delivery,600.0,Delivery
283,Yes,No,4.0,43,Basavanagudi,Dessert Parlor,250.0,Delivery
284,Yes,No,4.3,275,Basavanagudi,Quick Bites,100.0,Delivery
285,Yes,No,3.7,323,Jayanagar,Casual Dining,850.0,Delivery
286,Yes,No,3.1,28,Uttarahalli,Casual Dining,400.0,Delivery
287,Yes,No,3.9,18,Basavanagudi,Quick Bites,200.0,Delivery
288,Yes,No,3.3,6,Basavanagudi,Quick Bites,100.0,Delivery
289,Yes,No,3.7317847177866676,0,Basavanagudi,Dessert Parlor,100.0,Delivery
290,Yes,No,4.3,322,Jayanagar,Casual Dining,400.0,Delivery
291,Yes,No,2.6,157,Jayanagar,Cafe,450.0,Delivery
292,Yes,No,3.9,543,Basavanagudi,Quick Bites,300.0,Delivery
293,Yes,No,3.7,180,Banashankari,Cafe,500.0,Delivery
294,Yes,No,4.2,444,Basavanagudi,Quick Bites,100.0,Delivery
295,Yes,No,3.9,134,Jayanagar,Quick Bites,400.0,Delivery
296,Yes,No,3.8,577,Jayanagar,Casual Dining,900.0,Delivery
297,Yes,No,4.2,60,Banashankari,Quick Bites,200.0,Delivery
298,Yes,No,3.9,144,Jayanagar,Casual Dining,550.0,Delivery
299,Yes,No,4.1,787,Banashankari,Casual Dining,800.0,Delivery
300,Yes,No,3.6,16,Basavanagudi,Quick Bites,200.0,Delivery
301,Yes,No,3.6,84,Banashankari,Quick Bites,250.0,Delivery
302,Yes,No,3.6,95,Banashankari,Quick Bites,150.0,Delivery
303,Yes,Yes,4.0,349,Banashankari,Casual Dining,1200.0,Delivery
304,Yes,No,3.7,248,Kumaraswamy Layout,Quick Bites,400.0,Delivery
305,Yes,No,4.1,216,Basavanagudi,Cafe,500.0,Delivery
306,Yes,No,3.7317847177866676,0,Kumaraswamy Layout,Casual Dining,400.0,Delivery
307,Yes,No,4.0,324,Banashankari,Cafe,700.0,Delivery
308,Yes,No,2.6,231,Kumaraswamy Layout,Quick Bites,400.0,Delivery
309,Yes,No,3.4,102,Uttarahalli,Casual Dining,400.0,Delivery
310,Yes,No,3.9,133,Banashankari,Cafe,800.0,Delivery
311,Yes,No,2.8,45,Banashankari,Casual Dining,800.0,Delivery
312,Yes,No,3.9,149,Kumaraswamy Layout,Quick Bites,300.0,Delivery
313,Yes,No,3.8,75,Banashankari,Quick Bites,200.0,Delivery
314,Yes,No,4.0,53,Rajarajeshwari Nagar,Delivery,600.0,Delivery
315,Yes,Yes,4.2,815,Jayanagar,Casual Dining,900.0,Delivery
316,Yes,Yes,4.0,633,Banashankari,Casual Dining,800.0,Delivery
317,Yes,No,3.5,56,Jayanagar,Dessert Parlor,400.0,Delivery
318,Yes,No,3.0,82,Banashankari,Quick Bites,300.0,Delivery
319,Yes,No,3.7,35,Jayanagar,Quick Bites,200.0,Delivery
320,Yes,No,3.6,20,Basavanagudi,Quick Bites,150.0,Delivery
321,Yes,No,3.1,14,Kumaraswamy Layout,Quick Bites,250.0,Delivery
322,Yes,No,3.9,70,Banashankari,Dessert Parlor,400.0,Delivery
323,Yes,No,3.9,91,Jayanagar,Cafe,300.0,Delivery
324,Yes,No,3.6,45,Jayanagar,Quick Bites,200.0,Delivery
325,Yes,No,3.4,7,Banashankari,Quick Bites,250.0,Delivery
326,Yes,No,3.8,28,Banashankari,Quick Bites,150.0,Delivery
327,Yes,No,3.6,24,Banashankari,Casual Dining,600.0,Delivery
328,Yes,No,3.8,36,Basavanagudi,Dessert Parlor,200.0,Delivery
329,Yes,No,3.5,11,Jayanagar,Quick Bites,200.0,Delivery
330,Yes,No,3.8,77,Kumaraswamy Layout,Cafe,650.0,Delivery
331,Yes,No,3.2,8,Banashankari,Other,100.0,Delivery
332,Yes,No,3.7,14,Jayanagar,Quick Bites,100.0,Delivery
333,Yes,No,3.8,210,Kumaraswamy Layout,Casual Dining,600.0,Delivery
334,Yes,No,4.1,130,Jayanagar,Cafe,650.0,Delivery
335,Yes,No,4.1,30,Jayanagar,Other,100.0,Delivery
336,Yes,No,3.8,144,Banashankari,Cafe,700.0,Delivery
337,Yes,No,3.4,11,Basavanagudi,Other,800.0,Delivery
338,Yes,No,3.7,133,Jayanagar,Casual Dining,700.0,Delivery
339,Yes,No,4.0,136,Jayanagar,Quick Bites,350.0,Delivery
340,Yes,No,3.1,4,Basavanagudi,Quick Bites,200.0,Delivery
341,Yes,No,3.5,11,Basavanagudi,Other,200.0,Delivery
342,Yes,No,3.8,74,Basavanagudi,Quick Bites,300.0,Delivery
343,Yes,No,3.7,30,Basavanagudi,Quick Bites,300.0,Delivery
344,Yes,No,3.0,7,Basavanagudi,Quick Bites,200.0,Delivery
345,Yes,No,3.8,75,Banashankari,Other,200.0,Delivery
346,Yes,No,3.7,54,Basavanagudi,Cafe,600.0,Delivery
347,Yes,No,3.6,23,Basavanagudi,Other,100.0,Delivery
348,Yes,No,3.2,119,Banashankari,Casual Dining,400.0,Delivery
349,Yes,No,3.7,73,Banashankari,Quick Bites,400.0,Delivery
350,Yes,No,3.4,58,Basavanagudi,Cafe,400.0,Delivery
351,Yes,No,3.6,129,Banashankari,Casual Dining,600.0,Delivery
352,Yes,No,3.6,24,Banashankari,Quick Bites,250.0,Delivery
353,Yes,No,3.0,175,Kumaraswamy Layout,Quick Bites,400.0,Delivery
354,Yes,No,3.7,21,Mysore Road,Quick Bites,300.0,Delivery
355,Yes,No,3.5,41,South Bangalore,Other,400.0,Delivery
356,Yes,No,3.6,35,Jayanagar,Quick Bites,300.0,Delivery
357,Yes,No,4.1,176,Basavanagudi,Casual Dining,800.0,Delivery
358,Yes,No,3.5,45,Banashankari,Other,300.0,Delivery
359,Yes,No,3.7,47,Jayanagar,Other,400.0,Delivery
360,Yes,Yes,3.7,36,Jayanagar,Casual Dining,650.0,Delivery
361,Yes,No,3.8,52,Kumaraswamy Layout,Other,400.0,Delivery
362,Yes,No,2.7,123,Banashankari,Quick Bites,200.0,Delivery
363,Yes,No,3.6,59,Kumaraswamy Layout,Casual Dining,700.0,Delivery
364,Yes,No,3.2,4,Kumaraswamy Layout,Quick Bites,300.0,Delivery
365,Yes,No,3.8,101,Banashankari,Quick Bites,400.0,Delivery
366,Yes,No,3.7,54,Banashankari,Other,400.0,Delivery
367,Yes,No,3.7317847177866676,0,Banashankari,Quick Bites,200.0,Delivery
368,Yes,No,3.6,22,Basavanagudi,Quick Bites,200.0,Delivery
369,Yes,No,3.1,31,Banashankari,Other,250.0,Delivery
370,Yes,No,3.0,29,Kumaraswamy Layout,Cafe,500.0,Delivery
371,Yes,No,3.4,6,Jayanagar,Other,100.0,Delivery
372,Yes,No,3.0,22,Basavanagudi,Quick Bites,250.0,Delivery
373,Yes,No,2.9,11,Banashankari,Quick Bites,500.0,Delivery
374,Yes,No,3.9,101,Basavanagudi,Quick Bites,150.0,Delivery
375,Yes,Yes,4.1,442,Jayanagar,Other,1200.0,Delivery
376,Yes,No,3.5,155,Basavanagudi,Quick Bites,400.0,Delivery
377,Yes,No,3.4,12,Banashankari,Other,150.0,Delivery
378,Yes,No,3.6,15,Basavanagudi,Quick Bites,100.0,Delivery
379,Yes,No,3.5,10,Basavanagudi,Quick Bites,200.0,Delivery
380,Yes,No,3.8,25,Banashankari,Quick Bites,300.0,Delivery
381,Yes,No,3.8,61,Banashankari,Quick Bites,300.0,Delivery
382,Yes,No,3.7,23,Uttarahalli,Quick Bites,300.0,Delivery
383,Yes,No,3.8,25,Basavanagudi,Quick Bites,350.0,Delivery
384,Yes,No,3.7,40,Kumaraswamy Layout,Quick Bites,200.0,Delivery
385,Yes,No,3.3,4,Basavanagudi,Quick Bites,100.0,Delivery
386,Yes,No,3.4,8,Basavanagudi,Quick Bites,150.0,Delivery
387,Yes,No,3.5,32,Kumaraswamy Layout,Quick Bites,300.0,Delivery
388,Yes,No,3.3,10,Basavanagudi,Quick Bites,200.0,Delivery
389,Yes,No,3.4,6,Basavanagudi,Quick Bites,300.0,Delivery
390,Yes,No,3.8,53,Jayanagar,Quick Bites,250.0,Delivery
391,Yes,No,3.7,67,Kumaraswamy Layout,Casual Dining,700.0,Delivery
392,Yes,No,2.9,23,Jayanagar,Other,250.0,Delivery
393,Yes,No,3.4,19,Banashankari,Quick Bites,200.0,Delivery
394,Yes,No,3.6,24,Banashankari,Quick Bites,300.0,Delivery
395,Yes,No,4.0,232,Jayanagar,Quick Bites,400.0,Delivery
